From,Name,Price,Want,Have
Target,Riedel Vivant Red Wine Glasses Set of 4,$38.29,2,1
Target,Nintendo Wii Console with Mario Kart Bundle - White (Nintendo Wii),$134.99,1,1
Target,Wii Remote Plus - White (Nintendo Wii),$31.99,1,0
Target,Swiss Gear Zurich Upright - Metallic Pewter (20"),$109.99,1,0
Target,Swiss Gear TSA Compatible Messenger Bag - Black,$59.99,1,0
Target,Black & Decker Cordless Rechargeable Hand Saw,$29.99,1,0
Target,Monopoly Electronic Banking Edition,$29.89,1,0
Target,Taboo Game,$26.99,1,0
Target,Smart Ass Game,$22.99,1,1
Target,Sportcraft 6 Player Croquet Set,$38.49,1,0
Target,New Super Mario Bros. Wii (Nintendo Wii),$49.99,1,1
Target,Carcassonne,$29.99,1,0
Target,Aroma Digital Rice Cooker - Stainless Steel (20 cups),$37.99,1,1
Target,Riedel Vivant White Wine Glasses Set of 4,$38.29,2,1
Target,JBL OnStage Micro II Portable Speaker Dock for iPhoneÂ®/iPodÂ® (JBLOSM2BLKV) with Line-in - Black,$79.99,1,0
Target,Left Center Right Dice Game - Yellow,$9.99,1,0
Target,Swiss Gear Zurich Upright - Black (20"),$109.99,1,0
Target,SwissGear Dop Kit - Black,$18.99,1,0
Target,Weight Watchers Glass Scale - White,$24.99,1,0
Target,Hasbro Games THINGS Humor In A Box,$28.99,1,0
Target,Electronic Catch Phrase Game,$26.89,1,1
Target,Bananagrams Game,$14.99,1,1
Target,Donkey Kong Country Returns (Nintendo Wii),$49.99,1,0
Target,Super Mario Galaxy 2 (Nintendo Wii),$49.99,1,0
Target,The Settlers of Catan 5-6 Player Extension,$19.99,1,0
Target,Wedding Box Toppers GiftCard,,,
Crate,Felt Dinnerware Protectors,$9.95,8,0
Crate,Essential Dinner 10.5",$4.95,12,0
Crate,Essential Salad Plate,$3.95,12,0
Crate,Swoop Bowl Large 12",$19.95,1,0
Crate,Essential Bowl 7",$2.95,12,12
Crate,Court Mug 12oz.,$3.95,8,8
Crate,Verve Flute 5oz.,$12.95,8,8
Crate,Beaded Rim Napkin Ring Silver,$3.95,12,0
Crate,Slate Coasters Set of 4,$19.95,2,0
